year,rank,score
2021,291.0,34.6
2021,291.0,34.6
2021,291.0,34.6
2021,291.0,34.6
2021,295.0,34.5
2021,295.0,34.5
2021,295.0,34.5
2021,298.0,34.4
2021,298.0,34.4
2021,300.0,34.3
2021,301.0,34.2
2021,301.0,34.2
2021,303.0,34.1
2021,303.0,34.1
2021,305.0,34.0
2021,305.0,34.0
2021,305.0,34.0
2021,307.0,33.7
2021,308.0,33.5
2021,308.0,33.5
2021,308.0,33.5
2021,311.0,33.4
2021,311.0,33.4
2021,313.0,33.3
2021,314.0,33.2
2021,314.0,33.2
2021,314.0,33.2
2021,317.0,33.0
2021,317.0,33.0
2021,319.0,32.9
2021,320.0,32.6
2021,321.0,32.3
2021,321.0,32.3
2021,323.0,32.1
2021,323.0,32.1
2021,323.0,32.1
2021,327.0,32.0
2021,326.0,31.9
2021,326.0,31.9
2021,326.0,31.9
2021,326.0,31.9
2021,326.0,31.9
2021,331.0,31.8
2021,331.0,31.8
2021,333.0,31.7
2021,333.0,31.7
2021,333.0,31.7
2021,333.0,31.7
2021,333.0,31.7
2021,333.0,31.7
2021,333.0,31.7
2021,341.0,31.6
2021,342.0,31.5
2021,342.0,31.5
2021,344.0,31.4
2021,344.0,31.4
2021,346.0,31.1
2021,346.0,31.1
2021,348.0,31.0
2021,348.0,31.0
2021,350.0,30.9
2021,350.0,30.9
2021,350.0,30.9
2021,353.0,30.8
2021,353.0,30.8
2021,355.0,30.5
2021,356.0,30.3
2021,357.0,30.2
2021,357.0,30.2
2021,357.0,30.2
2021,360.0,30.1
2021,360.0,30.1
2021,362.0,30.0
2021,362.0,30.0
2021,362.0,30.0
2021,362.0,30.0
2021,367.0,29.9
2021,368.0,29.7
2021,368.0,29.7
2021,370.0,29.5
2021,370.0,29.5
2021,372.0,29.4
2021,373.0,29.2
2021,373.0,29.2
2021,375.0,29.1
2021,375.0,29.1
2021,377.0,29.0
2021,377.0,29.0
2021,379.0,28.9
2021,380.0,28.8
2021,380.0,28.8
2021,380.0,28.8
2021,383.0,28.7
2021,383.0,28.7
2021,383.0,28.7
2021,383.0,28.7
2021,387.0,28.6
2021,387.0,28.6
2021,387.0,28.6
2021,387.0,28.6
2021,391.0,28.5
2021,392.0,28.4
2021,392.0,28.4
2021,392.0,28.4
2021,392.0,28.4
2021,396.0,28.2
2021,396.0,28.2
2021,398.0,28.1
2021,398.0,28.1
2021,398.0,28.1
2021,401.0,28.0
2021,401.0,28.0
2021,403.0,27.9
2021,403.0,27.9
2021,403.0,27.9
2021,403.0,27.9
2021,403.0,27.9
2021,408.0,27.7
2021,409.0,27.6
2021,409.0,27.6
2021,411.0,27.5
2021,411.0,27.5
2021,411.0,27.5
2021,414.0,27.4
2021,414.0,27.4
2021,416.0,27.2
2021,416.0,27.2
2021,416.0,27.2
2021,416.0,27.2
2021,420.0,27.1
2021,420.0,27.1
