university,year,rank,score
University of Murcia,2018,801,0.0
Universidad de Oviedo,2018,801,0.0
Universidad de Puerto Rico,2018,801,0.0
Universidad de Talca,2018,801,0.0
Universidad de Valparaíso (UV),2018,801,0.0
Universidad del Norte ,2018,801,0.0
Universidad del Rosario,2018,801,0.0
Universidad del Valle,2018,801,0.0
Universidad Industrial de Santander - UIS,2018,801,0.0
Universidad Metropolitana,2018,801,0.0
Universidad Nacional Costa Rica,2018,801,0.0
Universidad Nacional de Cuyo,2018,801,0.0
Universidad Nacional de Mar del Plata,2018,801,0.0
Universidad Nacional de Rosario (UNR),2018,801,0.0
Universidad Nacional de Tucumà¡n,2018,801,0.0
Universidad Nacional del Sur,2018,801,0.0
Universidad Nacional Mayor de San Marcos,2018,801,0.0
Universidad Panamericana (UP),2018,801,0.0
Universidad Peruana Cayetano Heredia (UPCH),2018,801,0.0
Universidad Rey Juan Carlos,2018,801,0.0
Universidad Técnica Federico Santa María (USM),2018,801,0.0
