university,year,rank,score
Universidad Tecnológica Nacional (UTN),2018,801,0.0
Universidade da Coruña ,2018,801,0.0
Universidade do Estado do Rio de Janeiro (UERJ),2018,801,0.0
Universidade Estadual de Londrina,2018,801,0.0
Universidade Federal da Bahia,2018,801,0.0
Universidade Federal de Santa Maria,2018,801,0.0
Universidade Federal de Viçosa (UFV),2018,801,0.0
Universidade Federal do Ceará (UFC),2018,801,0.0
Universidade Federal do Paraná - UFPR,2018,801,0.0
Universidade Federal de Pernambuco (UFPE) ,2018,801,0.0
Universidade Federal Fluminense ,2018,801,0.0
Catania University,2018,801,0.0
University of Siena,2018,801,0.0
University of Palermo,2018,801,0.0
Universitas Muhammadiyah Surakarta,2018,801,0.0
Universität Rostock,2018,801,0.0
Université Charles-de-Gaulle Lille 3,2018,801,0.0
Université de Caen Normandie,2018,801,0.0
Université de Cergy-Pontoise,2018,801,0.0
Université de Poitiers,2018,801,0.0
Université Jean Moulin Lyon 3,2018,801,0.0
